Removed Pin From Net: NetName=GHB Pin=Q2-1
Removed Pin From Net: NetName=V_BATT Pin=Q2-2
Removed Pin From Net: NetName=SHB Pin=Q2-3
Removed Pin From Net: NetName=SHB Pin=Q2-3
Removed Pin From Net: NetName=SHB Pin=Q2-3
Removed Pin From Net: NetName=SHB Pin=Q2-3
Removed Pin From Net: NetName=SHB Pin=Q2-3
Removed Pin From Net: NetName=GHC Pin=Q3-1
Removed Pin From Net: NetName=SHC Pin=Q3-3
Removed Pin From Net: NetName=SHC Pin=Q3-3
Removed Pin From Net: NetName=SHC Pin=Q3-3
Removed Pin From Net: NetName=SHC Pin=Q3-3
Removed Pin From Net: NetName=SHC Pin=Q3-3
Removed Pin From Net: NetName=GLA Pin=Q4-1
Removed Pin From Net: NetName=SHA Pin=Q4-2
Removed Pin From Net: NetName=SPA Pin=Q4-3
Removed Pin From Net: NetName=SPA Pin=Q4-3
Removed Pin From Net: NetName=SPA Pin=Q4-3
Removed Pin From Net: NetName=SPA Pin=Q4-3
Removed Pin From Net: NetName=SPA Pin=Q4-3
Removed Pin From Net: NetName=GLB Pin=Q5-1
Removed Pin From Net: NetName=SHB Pin=Q5-2
Removed Pin From Net: NetName=SPB Pin=Q5-3
Removed Pin From Net: NetName=SPB Pin=Q5-3
Removed Pin From Net: NetName=SPB Pin=Q5-3
Removed Pin From Net: NetName=SPB Pin=Q5-3
Removed Pin From Net: NetName=SPB Pin=Q5-3
Removed Pin From Net: NetName=SNA Pin=TP3-1
Removed Member From Class: ClassName=Connectors & LEDs Member=TP3
Change Component Footprint: Designator=TP3 Old Footprint=Test Point New Footprint=TE_RCU-0C
Change Component Footprint: Designator=Q2 Old Footprint=TO263-7-3 New Footprint=DPAK254P1510X470-3M
Change Component Footprint: Designator=Q3 Old Footprint=TO263-7-3 New Footprint=DPAK254P1510X470-3M
Change Component Footprint: Designator=Q4 Old Footprint=TO263-7-3 New Footprint=DPAK254P1510X470-3M
Change Component Footprint: Designator=Q5 Old Footprint=TO263-7-3 New Footprint=DPAK254P1510X470-3M
Change Component Comment : Designator=Q1 Old Comment=IPB180N04S400ATMA1 New Comment=CSD18536KTTT
Change Component Comment : Designator=Q2 Old Comment=IPB180N04S400ATMA1 New Comment=CSD18536KTTT
Change Component Comment : Designator=Q3 Old Comment=IPB180N04S400ATMA1 New Comment=CSD18536KTTT
Change Component Comment : Designator=Q4 Old Comment=IPB180N04S400ATMA1 New Comment=CSD18536KTTT
Change Component Comment : Designator=Q5 Old Comment=IPB180N04S400ATMA1 New Comment=CSD18536KTTT
Change Component Comment : Designator=Q6 Old Comment=IPB180N04S400ATMA1 New Comment=CSD18536KTTT
Change Component Comment : Designator=TP3 Old Comment=TP New Comment=1625854-3
Change component parameters: Designator = "TP3"; Footprint = "TE_RCU-0C"; UniqueID = "\WLTMPPIA"
Add component (AddParameter): Name = "Digi-Key_Purchase_URL"; Value = "https://www.digikey.ca/product-detail/en/te-connectivity-amp-connectors/RCU-0C/A106145CT-ND/3477802?utm_source=snapeda&utm_medium=aggregator&utm_campaign=symbol"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "EU_RoHS_Compliance"; Value = "Compliant"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "MF"; Value = "TE Connectivity"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "MP"; Value = "RCU-0C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Package"; Value = "0603"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Power_Rating"; Value = "0 W"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Resistance"; Value = "<.05"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "SnapEDA_Link"; Value = "https://www.snapeda.com/parts/RCU-0C/TE%20Connectivity%20AMP%20Connectors/view-part/?ref=snap"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "TE_purchase_URL"; Value = "https://www.te.com/usa-en/product-1625854-3.html?te_bu=Cor&te_type=disp&te_campaign=seda_glo_cor-seda-global-disp-prtnr-fy19-seda-model-bom-cta_sma-317_1&elqCampaignId=32493"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Tolerance"; Value = "0%"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Value"; Value = ""; VariantName = "[No Variations]"
Added Component: Designator=TP7(TE_RCU-0C)
Add component. Clean all parameters for all variants
Add component (AddParameter): Name = "Digi-Key_Part_Number"; Value = "A106145CT-ND"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Digi-Key_Purchase_URL"; Value = "https://www.digikey.ca/product-detail/en/te-connectivity-amp-connectors/RCU-0C/A106145CT-ND/3477802?utm_source=snapeda&utm_medium=aggregator&utm_campaign=symbol"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "EU_RoHS_Compliance"; Value = "Compliant"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "MF"; Value = "TE Connectivity"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "MP"; Value = "RCU-0C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Package"; Value = "0603"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Power_Rating"; Value = "0 W"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Resistance"; Value = "<.05"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "SnapEDA_Link"; Value = "https://www.snapeda.com/parts/RCU-0C/TE%20Connectivity%20AMP%20Connectors/view-part/?ref=snap"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "TE_purchase_URL"; Value = "https://www.te.com/usa-en/product-1625854-3.html?te_bu=Cor&te_type=disp&te_campaign=seda_glo_cor-seda-global-disp-prtnr-fy19-seda-model-bom-cta_sma-317_1&elqCampaignId=32493"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Tolerance"; Value = "0%"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Value"; Value = ""; VariantName = "[No Variations]"
Added Component: Designator=TP8(TE_RCU-0C)
Add component. Clean all parameters for all variants
Add component (AddParameter): Name = "Digi-Key_Part_Number"; Value = "A106145CT-ND"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Digi-Key_Purchase_URL"; Value = "https://www.digikey.ca/product-detail/en/te-connectivity-amp-connectors/RCU-0C/A106145CT-ND/3477802?utm_source=snapeda&utm_medium=aggregator&utm_campaign=symbol"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "EU_RoHS_Compliance"; Value = "Compliant"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "MF"; Value = "TE Connectivity"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "MP"; Value = "RCU-0C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Package"; Value = "0603"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Power_Rating"; Value = "0 W"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Resistance"; Value = "<.05"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "SnapEDA_Link"; Value = "https://www.snapeda.com/parts/RCU-0C/TE%20Connectivity%20AMP%20Connectors/view-part/?ref=snap"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "TE_purchase_URL"; Value = "https://www.te.com/usa-en/product-1625854-3.html?te_bu=Cor&te_type=disp&te_campaign=seda_glo_cor-seda-global-disp-prtnr-fy19-seda-model-bom-cta_sma-317_1&elqCampaignId=32493"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Tolerance"; Value = "0%"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Value"; Value = ""; VariantName = "[No Variations]"
Added Component: Designator=TP9(TE_RCU-0C)
Add component. Clean all parameters for all variants
Add component (AddParameter): Name = "Digi-Key_Part_Number"; Value = "A106145CT-ND"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Digi-Key_Purchase_URL"; Value = "https://www.digikey.ca/product-detail/en/te-connectivity-amp-connectors/RCU-0C/A106145CT-ND/3477802?utm_source=snapeda&utm_medium=aggregator&utm_campaign=symbol"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "EU_RoHS_Compliance"; Value = "Compliant"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "MF"; Value = "TE Connectivity"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "MP"; Value = "RCU-0C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Package"; Value = "0603"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Power_Rating"; Value = "0 W"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Resistance"; Value = "<.05"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "SnapEDA_Link"; Value = "https://www.snapeda.com/parts/RCU-0C/TE%20Connectivity%20AMP%20Connectors/view-part/?ref=snap"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "TE_purchase_URL"; Value = "https://www.te.com/usa-en/product-1625854-3.html?te_bu=Cor&te_type=disp&te_campaign=seda_glo_cor-seda-global-disp-prtnr-fy19-seda-model-bom-cta_sma-317_1&elqCampaignId=32493"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Tolerance"; Value = "0%"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Value"; Value = ""; VariantName = "[No Variations]"
Added Component: Designator=TP10(TE_RCU-0C)
Add component. Clean all parameters for all variants
Add component (AddParameter): Name = "Digi-Key_Part_Number"; Value = "A106145CT-ND"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Digi-Key_Purchase_URL"; Value = "https://www.digikey.ca/product-detail/en/te-connectivity-amp-connectors/RCU-0C/A106145CT-ND/3477802?utm_source=snapeda&utm_medium=aggregator&utm_campaign=symbol"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "EU_RoHS_Compliance"; Value = "Compliant"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "MF"; Value = "TE Connectivity"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "MP"; Value = "RCU-0C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Package"; Value = "0603"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Power_Rating"; Value = "0 W"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Resistance"; Value = "<.05"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "SnapEDA_Link"; Value = "https://www.snapeda.com/parts/RCU-0C/TE%20Connectivity%20AMP%20Connectors/view-part/?ref=snap"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "TE_purchase_URL"; Value = "https://www.te.com/usa-en/product-1625854-3.html?te_bu=Cor&te_type=disp&te_campaign=seda_glo_cor-seda-global-disp-prtnr-fy19-seda-model-bom-cta_sma-317_1&elqCampaignId=32493"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Tolerance"; Value = "0%"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Value"; Value = ""; VariantName = "[No Variations]"
Added Component: Designator=TP11(TE_RCU-0C)
Add component. Clean all parameters for all variants
Add component (AddParameter): Name = "Digi-Key_Part_Number"; Value = "A106145CT-ND"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Digi-Key_Purchase_URL"; Value = "https://www.digikey.ca/product-detail/en/te-connectivity-amp-connectors/RCU-0C/A106145CT-ND/3477802?utm_source=snapeda&utm_medium=aggregator&utm_campaign=symbol"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "EU_RoHS_Compliance"; Value = "Compliant"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "MF"; Value = "TE Connectivity"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "MP"; Value = "RCU-0C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Package"; Value = "0603"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Power_Rating"; Value = "0 W"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Resistance"; Value = "<.05"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "SnapEDA_Link"; Value = "https://www.snapeda.com/parts/RCU-0C/TE%20Connectivity%20AMP%20Connectors/view-part/?ref=snap"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "TE_purchase_URL"; Value = "https://www.te.com/usa-en/product-1625854-3.html?te_bu=Cor&te_type=disp&te_campaign=seda_glo_cor-seda-global-disp-prtnr-fy19-seda-model-bom-cta_sma-317_1&elqCampaignId=32493"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Tolerance"; Value = "0%"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Value"; Value = ""; VariantName = "[No Variations]"
Added Component: Designator=TP12(TE_RCU-0C)
Add component. Clean all parameters for all variants
Add component (AddParameter): Name = "Digi-Key_Part_Number"; Value = "A106145CT-ND"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Digi-Key_Purchase_URL"; Value = "https://www.digikey.ca/product-detail/en/te-connectivity-amp-connectors/RCU-0C/A106145CT-ND/3477802?utm_source=snapeda&utm_medium=aggregator&utm_campaign=symbol"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "EU_RoHS_Compliance"; Value = "Compliant"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "MF"; Value = "TE Connectivity"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "MP"; Value = "RCU-0C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Package"; Value = "0603"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Power_Rating"; Value = "0 W"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Resistance"; Value = "<.05"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "SnapEDA_Link"; Value = "https://www.snapeda.com/parts/RCU-0C/TE%20Connectivity%20AMP%20Connectors/view-part/?ref=snap"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "TE_purchase_URL"; Value = "https://www.te.com/usa-en/product-1625854-3.html?te_bu=Cor&te_type=disp&te_campaign=seda_glo_cor-seda-global-disp-prtnr-fy19-seda-model-bom-cta_sma-317_1&elqCampaignId=32493"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Tolerance"; Value = "0%"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Value"; Value = ""; VariantName = "[No Variations]"
Added Component: Designator=TP13(TE_RCU-0C)
Add component. Clean all parameters for all variants
Add component (AddParameter): Name = "Digi-Key_Part_Number"; Value = "A106145CT-ND"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Digi-Key_Purchase_URL"; Value = "https://www.digikey.ca/product-detail/en/te-connectivity-amp-connectors/RCU-0C/A106145CT-ND/3477802?utm_source=snapeda&utm_medium=aggregator&utm_campaign=symbol"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "EU_RoHS_Compliance"; Value = "Compliant"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "MF"; Value = "TE Connectivity"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "MP"; Value = "RCU-0C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Package"; Value = "0603"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Power_Rating"; Value = "0 W"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Resistance"; Value = "<.05"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "SnapEDA_Link"; Value = "https://www.snapeda.com/parts/RCU-0C/TE%20Connectivity%20AMP%20Connectors/view-part/?ref=snap"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "TE_purchase_URL"; Value = "https://www.te.com/usa-en/product-1625854-3.html?te_bu=Cor&te_type=disp&te_campaign=seda_glo_cor-seda-global-disp-prtnr-fy19-seda-model-bom-cta_sma-317_1&elqCampaignId=32493"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Tolerance"; Value = "0%"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Value"; Value = ""; VariantName = "[No Variations]"
Added Pin To Net: NetName=GLA Pin=Q2-1
Added Pin To Net: NetName=SHA Pin=Q2-2
Added Pin To Net: NetName=SPA Pin=Q2-3
Added Pin To Net: NetName=GHB Pin=Q3-1
Added Pin To Net: NetName=SHB Pin=Q3-3
Added Pin To Net: NetName=GLB Pin=Q4-1
Added Pin To Net: NetName=SHB Pin=Q4-2
Added Pin To Net: NetName=SPB Pin=Q4-3
Added Pin To Net: NetName=GHC Pin=Q5-1
Added Pin To Net: NetName=V_BATT Pin=Q5-2
Added Pin To Net: NetName=SHC Pin=Q5-3
Added Pin To Net: NetName=SHC Pin=TP1-1
Added Pin To Net: NetName=SHB Pin=TP2-1
Added Pin To Net: NetName=SHA Pin=TP3-1
Added Pin To Net: NetName=VoltA Pin=TP4-1
Added Pin To Net: NetName=VoltB Pin=TP5-1
Added Pin To Net: NetName=VoltC Pin=TP6-1
Added Pin To Net: NetName=INLC Pin=TP7-1
Added Pin To Net: NetName=INHC Pin=TP8-1
Added Pin To Net: NetName=INLB Pin=TP9-1
Added Pin To Net: NetName=INHB Pin=TP10-1
Added Pin To Net: NetName=INLA Pin=TP11-1
Added Pin To Net: NetName=INHA Pin=TP12-1
Added Pin To Net: NetName=SNA Pin=TP13-1
Added Member To Class: ClassName=Gate Driver & H-Bridge Member=Component C19 Cap
Added Member To Class: ClassName=Gate Driver & H-Bridge Member=Component C20 Cap
Added Member To Class: ClassName=Gate Driver & H-Bridge Member=Component C21 Cap
Added Member To Class: ClassName=Gate Driver & H-Bridge Member=Component R23 Res3
Added Member To Class: ClassName=Gate Driver & H-Bridge Member=Component R24 Res3
Added Member To Class: ClassName=Gate Driver & H-Bridge Member=Component R25 Res3
Added Member To Class: ClassName=Gate Driver & H-Bridge Member=Component TP1 1625854-3
Added Member To Class: ClassName=Gate Driver & H-Bridge Member=Component TP2 1625854-3
Added Member To Class: ClassName=Gate Driver & H-Bridge Member=Component TP3 1625854-3
Added Member To Class: ClassName=Connectors & LEDs Member=Component TP4 1625854-3
Added Member To Class: ClassName=Connectors & LEDs Member=Component TP5 1625854-3
Added Member To Class: ClassName=Connectors & LEDs Member=Component TP6 1625854-3
Added Member To Class: ClassName=Connectors & LEDs Member=Component TP7 1625854-3
Added Member To Class: ClassName=Connectors & LEDs Member=Component TP8 1625854-3
Added Member To Class: ClassName=Connectors & LEDs Member=Component TP9 1625854-3
Added Member To Class: ClassName=Connectors & LEDs Member=Component TP10 1625854-3
Added Member To Class: ClassName=Connectors & LEDs Member=Component TP11 1625854-3
Added Member To Class: ClassName=Connectors & LEDs Member=Component TP12 1625854-3
Added Member To Class: ClassName=Connectors & LEDs Member=Component TP13 1625854-3
Added Room: Name=Connectors & LEDs
Added Room: Name=Gate Driver & H-Bridge
